,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns
0,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",2048,0.000529,1.0,2048,-0.888887,-0.889052,-0.888725,4.8e-05
1,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",4096,0.000489,1.0,2048,-0.888885,-0.889035,-0.888703,4.9e-05
2,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",6144,0.000474,1.0,2048,-0.888885,-0.889032,-0.888747,4.6e-05
3,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",8192,0.000435,1.0,2048,-0.888885,-0.889037,-0.888719,4.8e-05
4,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",10240,0.000474,1.0,2048,-0.888883,-0.889048,-0.888703,4.8e-05
5,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",12288,0.000564,1.0,2048,-0.888879,-0.889037,-0.88871,4.7e-05
6,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",14336,0.000532,1.0,2048,-0.888875,-0.889024,-0.888695,4.8e-05
7,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",16384,0.000502,1.0,2048,-0.88887,-0.889023,-0.888703,4.7e-05
8,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",18432,0.000496,1.0,2048,-0.888863,-0.889024,-0.888719,4.8e-05
9,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",20480,0.000431,1.0,2048,-0.888858,-0.889041,-0.888708,4.9e-05
10,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",22528,0.000442,1.0,2048,-0.888846,-0.888995,-0.888659,4.7e-05
11,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",24576,0.000489,1.0,2048,-0.888841,-0.889003,-0.888681,4.8e-05
12,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",26624,0.000476,1.0,2048,-0.888832,-0.888994,-0.888655,4.8e-05
13,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",28672,0.000476,1.0,2048,-0.88882,-0.888974,-0.888653,4.8e-05
14,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",30720,0.00052,1.0,2048,-0.888809,-0.888976,-0.888651,4.8e-05
15,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",32768,0.000437,1.0,2048,-0.888798,-0.888952,-0.888634,4.9e-05
16,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",34816,0.000466,1.0,2048,-0.888785,-0.888938,-0.888612,5e-05
17,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",36864,0.000452,1.0,2048,-0.888777,-0.888929,-0.88862,4.8e-05
18,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",38912,0.000456,1.0,2048,-0.888766,-0.888952,-0.888556,5e-05
19,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",40960,0.000447,1.0,2048,-0.888754,-0.888911,-0.888581,5e-05
20,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",43008,0.000443,1.0,2048,-0.888741,-0.888893,-0.888552,5e-05
21,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",45056,0.000487,1.0,2048,-0.888728,-0.888896,-0.88853,5e-05
22,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",47104,0.000461,1.0,2048,-0.888715,-0.888904,-0.888529,5.1e-05
23,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",49152,0.000488,1.0,2048,-0.888704,-0.888881,-0.88851,5.1e-05
24,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",51200,0.000551,1.0,2048,-0.888689,-0.888882,-0.888534,5.1e-05
0,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",53248,0.000616,1.0,2048,-0.888676,-0.888895,-0.888502,5.2e-05
1,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",55296,0.000596,1.0,2048,-0.888662,-0.888836,-0.88849,5.1e-05
2,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",57344,0.000534,1.0,2048,-0.88865,-0.888813,-0.888478,5.2e-05
3,"exp_name: takeoff-aviary-v0_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",59392,0.000496,1.0,2048,-0.888637,-0.888808,-0.888458,4.9e-05
