,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,episodes
0,exp_name: takeoff-aviary-v0_2023-01-19,2048,0.00047,1.0,2048,-0.888888,-0.889061,-0.888718,4.7e-05,0
1,exp_name: takeoff-aviary-v0_2023-01-19,4096,0.000516,1.0,2048,-0.888886,-0.889064,-0.888724,4.8e-05,1
2,exp_name: takeoff-aviary-v0_2023-01-19,6144,0.0005,1.0,2048,-0.888886,-0.889047,-0.888697,4.7e-05,2
3,exp_name: takeoff-aviary-v0_2023-01-19,8192,0.000549,1.0,2048,-0.888883,-0.889055,-0.888729,4.8e-05,3
4,exp_name: takeoff-aviary-v0_2023-01-19,10240,0.000494,1.0,2048,-0.888883,-0.88903,-0.888691,4.7e-05,4
0,exp_name: takeoff-aviary-v0_2023-01-19,12288,0.00052,1.0,2048,-0.888881,-0.889036,-0.888715,4.7e-05,5
1,exp_name: takeoff-aviary-v0_2023-01-19,14336,0.000431,1.0,2048,-0.888876,-0.889027,-0.88871,4.7e-05,6
2,exp_name: takeoff-aviary-v0_2023-01-19,16384,0.000506,1.0,2048,-0.888871,-0.889042,-0.888708,4.9e-05,7
3,exp_name: takeoff-aviary-v0_2023-01-19,18432,0.000467,1.0,2048,-0.888864,-0.889011,-0.888697,4.8e-05,8
4,exp_name: takeoff-aviary-v0_2023-01-19,20480,0.000481,1.0,2048,-0.888856,-0.889004,-0.88867,4.9e-05,9
0,exp_name: takeoff-aviary-v0_2023-01-19,22528,0.00052,1.0,2048,-0.88885,-0.88899,-0.888691,4.9e-05,10
1,exp_name: takeoff-aviary-v0_2023-01-19,24576,0.000561,1.0,2048,-0.88884,-0.888973,-0.888684,4.7e-05,11
2,exp_name: takeoff-aviary-v0_2023-01-19,26624,0.000474,1.0,2048,-0.888832,-0.889014,-0.888656,4.9e-05,12
3,exp_name: takeoff-aviary-v0_2023-01-19,28672,0.000447,1.0,2048,-0.888823,-0.888954,-0.888634,4.8e-05,13
4,exp_name: takeoff-aviary-v0_2023-01-19,30720,0.000426,1.0,2048,-0.88881,-0.888961,-0.888628,5e-05,14
0,exp_name: takeoff-aviary-v0_2023-01-19,32768,0.000427,1.0,2048,-0.8888,-0.888967,-0.888589,4.8e-05,15
1,exp_name: takeoff-aviary-v0_2023-01-19,34816,0.000465,1.0,2048,-0.888791,-0.888954,-0.888627,5e-05,16
2,exp_name: takeoff-aviary-v0_2023-01-19,36864,0.00055,1.0,2048,-0.888781,-0.888954,-0.888576,5.1e-05,17
3,exp_name: takeoff-aviary-v0_2023-01-19,38912,0.000505,1.0,2048,-0.888768,-0.888945,-0.888606,4.9e-05,18
4,exp_name: takeoff-aviary-v0_2023-01-19,40960,0.00043,1.0,2048,-0.888756,-0.888906,-0.888565,4.9e-05,19
0,exp_name: takeoff-aviary-v0_2023-01-19,43008,0.000429,1.0,2048,-0.888742,-0.888905,-0.888572,5e-05,20
1,exp_name: takeoff-aviary-v0_2023-01-19,45056,0.000424,1.0,2048,-0.888729,-0.888891,-0.888558,5.1e-05,21
2,exp_name: takeoff-aviary-v0_2023-01-19,47104,0.000427,1.0,2048,-0.888718,-0.888883,-0.888534,4.9e-05,22
3,exp_name: takeoff-aviary-v0_2023-01-19,49152,0.000456,1.0,2048,-0.888706,-0.88886,-0.888553,5e-05,23
4,exp_name: takeoff-aviary-v0_2023-01-19,51200,0.000495,1.0,2048,-0.888695,-0.88887,-0.888519,5.1e-05,24
