,experiment,timestep,mean episodic length,mean episodic returns,std episodic returns
0,experiment,2200,200.0,-1224.6348146315077,293.073728357983
0,experiment,4400,200.0,-1462.113125263688,166.57025960874643
0,experiment,6600,200.0,-1380.6208805751096,326.8112178429333
0,experiment,8800,200.0,-1120.012984762655,216.92214171342576
0,experiment,11000,200.0,-1170.4303602439124,279.0593530645365
0,experiment,13200,200.0,-1063.536533966236,322.18685381086095
0,experiment,15400,200.0,-1370.6607495322323,347.57583231305176
0,experiment,17600,200.0,-1265.9795694850168,267.31697518179743
0,experiment,19800,200.0,-1116.4997182059337,277.5106950820871
0,experiment,22000,200.0,-1214.763586952151,254.68914048972235
0,experiment,24200,200.0,-1206.5619211086234,296.63663178771304
0,experiment,26400,200.0,-1247.033765208388,308.24391097965247
0,experiment,28600,200.0,-1338.5848467114838,319.4409942738638
0,experiment,30800,200.0,-1140.4411798999454,239.5400863393578
0,experiment,33000,200.0,-1209.8471636600234,241.5887988250007
0,experiment,35200,200.0,-1162.1048832047768,261.37282053152165
0,experiment,37400,200.0,-1180.6648917575135,288.57347807001605
0,experiment,39600,200.0,-1133.7822718697814,205.5200973904026
0,experiment,41800,200.0,-1266.778336968243,220.2317722152913
0,experiment,44000,200.0,-1183.493929103628,212.08933670125776
0,experiment,46200,200.0,-1218.5532660101187,176.46967902608503
0,experiment,48400,200.0,-1175.6822669843177,235.55327350620377
0,experiment,50600,200.0,-1177.3456818759244,230.23502328440256
0,experiment,52800,200.0,-1234.432960031162,292.8686217642424
0,experiment,55000,200.0,-1043.954962351178,143.1915834144309
0,experiment,57200,200.0,-1199.4877056500652,272.1108658884667
0,experiment,59400,200.0,-1207.426179430579,301.91708528546513
0,experiment,61600,200.0,-1083.3829559120054,251.9427195943417
0,experiment,63800,200.0,-1347.4910372281404,267.7297884292134
0,experiment,66000,200.0,-1145.4407297061098,274.1398614108659
0,experiment,68200,200.0,-1282.2582196646053,280.5192738764549
0,experiment,70400,200.0,-1162.204742953329,260.7290448162493
0,experiment,72600,200.0,-1088.3811016002242,307.30538110265866
0,experiment,74800,200.0,-1269.6136856453736,211.74340305064288
0,experiment,77000,200.0,-1246.3669678202548,245.14871277855528
0,experiment,79200,200.0,-1241.6447526027373,326.1177245347557
0,experiment,81400,200.0,-1320.9365568297462,333.65097222305525
0,experiment,83600,200.0,-1372.4960790201478,278.93337972437547
0,experiment,85800,200.0,-1170.6550165032775,246.38919922060524
0,experiment,88000,200.0,-1313.4833251280686,325.5753591550424
0,experiment,90200,200.0,-1451.7092753049096,343.3716577088797
0,experiment,92400,200.0,-1292.309066521337,252.3487300672313
0,experiment,94600,200.0,-1255.3443590103182,282.73797103046854
0,experiment,96800,200.0,-1217.5068624152173,184.41406585176972
0,experiment,99000,200.0,-1218.112054189164,305.3902023929717
0,experiment,101200,200.0,-1201.7536105641689,144.66313135302005
0,experiment,103400,200.0,-1233.6384791913488,317.1272723956948
0,experiment,105600,200.0,-1206.692634110954,251.7676140010944
0,experiment,107800,200.0,-1157.9349078675068,144.1963338777898
0,experiment,110000,200.0,-1218.7515120983842,259.87780132651176
0,experiment,112200,200.0,-1171.4787950746102,184.56197625209776
0,experiment,114400,200.0,-1143.8813599299879,256.7559056964284
0,experiment,116600,200.0,-1155.399798815972,275.3874475485659
0,experiment,118800,200.0,-1202.9529422226972,218.62752393263295
0,experiment,121000,200.0,-1143.4832429411956,277.08470391222573
0,experiment,123200,200.0,-1119.065870938809,296.5121784190378
0,experiment,125400,200.0,-1160.8542286877025,341.0459664983575
0,experiment,127600,200.0,-1158.1033393147322,347.77062976636785
0,experiment,129800,200.0,-1197.3439238294393,277.0212838876686
0,experiment,132000,200.0,-1355.7368018523723,360.2987535446933
0,experiment,134200,200.0,-1138.6620484592268,267.4912418265492
0,experiment,136400,200.0,-1117.9184529682627,230.72832578653257
0,experiment,138600,200.0,-1119.4197963185054,307.47423978533936
0,experiment,140800,200.0,-1052.7465981907667,228.70974707106936
0,experiment,143000,200.0,-1131.0094063138715,274.6202156837524
0,experiment,145200,200.0,-1136.801039883957,268.7695675975267
0,experiment,147400,200.0,-1207.9140289560637,247.3454236209806
0,experiment,149600,200.0,-1251.4133926484376,319.97109699334607
0,experiment,151800,200.0,-1191.0076574397153,404.3639508241838
0,experiment,154000,200.0,-1180.5054892292626,277.14222889435166
0,experiment,156200,200.0,-1156.0571890985457,256.33046349101284
0,experiment,158400,200.0,-1100.7420195330267,179.3751844440948
0,experiment,160600,200.0,-981.7616027234737,158.760977931382
0,experiment,162800,200.0,-1218.4965949187147,187.01408500237318
0,experiment,165000,200.0,-1105.4133638078695,255.8929061650888
0,experiment,167200,200.0,-1161.8214926724288,191.36962819698374
0,experiment,169400,200.0,-1037.2711502461025,194.22518151490263
0,experiment,171600,200.0,-1128.8398379590087,313.39794679542797
0,experiment,173800,200.0,-1060.4512089102927,202.067659019445
0,experiment,176000,200.0,-1202.0893951207431,307.04969160757963
0,experiment,178200,200.0,-1190.235330316,281.6164794997589
0,experiment,180400,200.0,-1099.4375911752227,237.7469551347008
0,experiment,182600,200.0,-1161.8083557960404,346.6040434438351
0,experiment,184800,200.0,-1282.5031165875155,252.45304357712186
0,experiment,187000,200.0,-1151.6711114697493,247.30055868521103
0,experiment,189200,200.0,-1191.1689849620964,250.55253436747842
0,experiment,191400,200.0,-1095.2769387791639,254.66589674154153
0,experiment,193600,200.0,-1221.6797850778605,243.70511149662602
0,experiment,195800,200.0,-1255.7110751146422,278.62561200876024
0,experiment,198000,200.0,-1125.6265239096858,282.97842768411425
0,experiment,200200,200.0,-1193.3997905864946,318.34856144459883
0,experiment,202400,200.0,-1179.6671460089945,290.1360287192675
0,experiment,204600,200.0,-1189.1932624410933,298.618473477516
0,experiment,206800,200.0,-1116.848495371104,231.94702929683146
0,experiment,209000,200.0,-1273.1278977631746,219.31982902192323
0,experiment,211200,200.0,-1185.6638873454574,292.2109752101478
0,experiment,213400,200.0,-1119.3439121700128,173.72945076506372
0,experiment,215600,200.0,-1203.9661383424334,226.34105514386923
0,experiment,217800,200.0,-1174.353678440309,199.13136952794753
0,experiment,220000,200.0,-1194.7091584391817,202.8051589306608
0,experiment,222200,200.0,-1054.7070376425013,169.24972907131166
0,experiment,224400,200.0,-1099.177469115071,137.400816653673
0,experiment,226600,200.0,-1145.9303389835936,189.7145029655816
