,experiment,timestep,mean episodic runtime,mean episodic length,mean episodic returns,min episodic returns,max episodic returns,std episodic returns
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",2200,0.038576,200.0,-1224.634815,-1633.46679,-739.713681,293.073728
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",4400,0.040666,200.0,-1462.113125,-1714.740111,-1195.103324,166.57026
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",6600,0.039148,200.0,-1380.620881,-1726.654785,-749.840377,326.811218
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",8800,0.036644,200.0,-1120.012985,-1409.841846,-762.449193,216.922142
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",11000,0.037339,200.0,-1170.43036,-1869.792071,-865.831384,279.059353
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",13200,0.036671,200.0,-1063.536534,-1768.889281,-642.676482,322.186854
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",15400,0.035815,200.0,-1370.66075,-1777.818012,-891.640099,347.575832
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",17600,0.038693,200.0,-1265.979569,-1674.936165,-860.76155,267.316975
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",19800,0.037284,200.0,-1116.499718,-1766.452446,-879.41352,277.510695
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",22000,0.035132,200.0,-1214.763587,-1579.659422,-799.77045,254.68914
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",24200,0.035198,200.0,-1206.561921,-1779.174344,-924.789738,296.636632
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",26400,0.035332,200.0,-1247.033765,-1852.402227,-888.665731,308.243911
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",28600,0.035451,200.0,-1338.584847,-1804.661056,-898.717475,319.440994
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",30800,0.036997,200.0,-1140.44118,-1812.966504,-910.335626,239.540086
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",33000,0.037834,200.0,-1209.847164,-1580.458914,-958.225344,241.588799
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",35200,0.035339,200.0,-1162.104883,-1836.202747,-872.529841,261.372821
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",37400,0.035391,200.0,-1180.664892,-1807.992131,-866.702095,288.573478
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",39600,0.037104,200.0,-1133.782272,-1519.768738,-728.089554,205.520097
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",41800,0.036804,200.0,-1266.778337,-1584.059638,-1017.836734,220.231772
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",44000,0.03785,200.0,-1183.493929,-1551.870026,-875.146681,212.089337
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",46200,0.037782,200.0,-1218.553266,-1543.056247,-893.142397,176.469679
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",48400,0.036206,200.0,-1175.682267,-1571.081818,-759.667413,235.553274
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",50600,0.037338,200.0,-1177.345682,-1559.632984,-878.438197,230.235023
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",52800,0.035432,200.0,-1234.43296,-1689.736093,-775.718211,292.868622
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",55000,0.035198,200.0,-1043.954962,-1459.649142,-893.848828,143.191583
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",57200,0.037204,200.0,-1199.487706,-1690.647804,-925.530949,272.110866
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",59400,0.038041,200.0,-1207.426179,-1646.617311,-666.653293,301.917085
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",61600,0.035369,200.0,-1083.382956,-1532.005614,-865.942613,251.94272
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",63800,0.03522,200.0,-1347.491037,-1748.059492,-891.657201,267.729788
0,"exp_name: Pendulum-v1_2023-01-12 (seperate network, actor-critic advantage)",66000,0.035133,200.0,-1145.44073,-1618.599599,-817.786069,274.139861
