,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",2200,0.037727,200.0,11,-1224.634815,-1633.46679,-739.713681,293.073728
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",4400,0.037875,200.0,11,-1470.283088,-1716.93675,-1212.08507,161.785569
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",6600,0.044599,200.0,11,-1402.175882,-1732.806262,-877.93206,304.422033
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",8800,0.045431,200.0,11,-1134.41594,-1418.405856,-773.040602,212.344553
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",11000,0.038752,200.0,11,-1159.852059,-1867.899299,-840.49918,285.076918
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",13200,0.036993,200.0,11,-1081.474088,-1766.539479,-772.962,306.757533
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",15400,0.046989,200.0,11,-1373.611725,-1783.746541,-755.523412,359.594166
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",17600,0.042183,200.0,11,-1284.362577,-1683.255144,-901.677142,268.31163
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",19800,0.037399,200.0,11,-1173.386213,-1781.840096,-864.084042,263.495703
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",22000,0.03806,200.0,11,-1280.042102,-1604.964579,-983.669979,207.398725
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",24200,0.039755,200.0,11,-1227.511385,-1791.118033,-885.363465,292.656645
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",26400,0.040122,200.0,11,-1284.18866,-1845.2816,-914.23954,278.424764
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",28600,0.041395,200.0,11,-1357.994587,-1805.85371,-896.906791,302.598107
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",30800,0.039934,200.0,11,-1117.151929,-1828.824426,-845.194126,268.15512
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",33000,0.03878,200.0,11,-1225.874728,-1583.356074,-912.59512,240.106986
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",35200,0.037847,200.0,11,-1190.278029,-1840.90508,-897.162902,251.285496
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",37400,0.036508,200.0,11,-1162.285776,-1805.960876,-773.707664,302.690833
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",39600,0.037863,200.0,11,-1137.097973,-1579.04325,-928.478521,215.048392
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",41800,0.03963,200.0,11,-1240.013497,-1604.242578,-950.155804,264.588606
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",44000,0.037571,200.0,11,-1260.79022,-1596.878286,-945.338294,201.220489
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",46200,0.036241,200.0,11,-1287.851738,-1583.866194,-1048.698006,139.427458
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",48400,0.036423,200.0,11,-1244.449441,-1569.331449,-1035.941013,144.089031
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",50600,0.036085,200.0,11,-1286.961671,-1541.042396,-1179.743464,101.791871
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",52800,0.038194,200.0,11,-1305.766918,-1625.18018,-885.722543,195.979526
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",55000,0.039243,200.0,11,-1263.142802,-1369.055408,-1182.856251,57.897462
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",57200,0.036512,200.0,11,-1324.286047,-1590.799708,-930.568462,173.952691
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",59400,0.040865,200.0,11,-1310.044521,-1508.645318,-1101.02127,131.978404
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",61600,0.039224,200.0,11,-1337.785878,-1411.02893,-1227.911985,57.868644
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",63800,0.037833,200.0,11,-1365.313235,-1668.110111,-1161.829661,132.68608
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",66000,0.04084,200.0,11,-1342.209923,-1450.438256,-1129.543704,78.708527
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",68200,0.039079,200.0,11,-1346.915929,-1755.844622,-1186.782526,163.600061
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",70400,0.04131,200.0,11,-1298.503617,-1523.775626,-1139.51882,102.182137
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",72600,0.038882,200.0,11,-1347.837952,-1668.783797,-912.634418,170.619806
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",74800,0.039743,200.0,11,-1295.570746,-1414.380339,-1105.480563,86.849364
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",77000,0.040275,200.0,11,-1335.032421,-1625.366958,-1134.711243,127.336553
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",79200,0.040228,200.0,11,-1410.353002,-1848.924107,-1217.591491,154.270492
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",81400,0.03837,200.0,11,-1441.910128,-1814.901072,-1235.486812,181.686223
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",83600,0.038426,200.0,11,-1411.810191,-1635.737174,-1266.462008,127.121269
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",85800,0.037495,200.0,11,-1361.614018,-1653.164768,-1196.528943,113.307364
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",88000,0.03743,200.0,11,-1460.832932,-1741.142187,-1232.560131,168.570885
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",90200,0.039351,200.0,11,-1499.239979,-1843.518844,-1270.83105,175.453129
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",92400,0.038016,200.0,11,-1357.468803,-1488.823519,-1257.968069,64.39714
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",94600,0.036862,200.0,11,-1332.806377,-1587.419747,-1056.811437,146.562069
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",96800,0.036255,200.0,11,-1252.34325,-1422.915624,-763.287019,175.314182
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",99000,0.036134,200.0,11,-1493.357868,-1726.999598,-1305.1785,117.540115
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",101200,0.036814,200.0,11,-1358.515163,-1492.491413,-1237.273431,88.946403
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",103400,0.039505,200.0,11,-1483.60185,-1685.564442,-1309.027235,119.831246
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",105600,0.038372,200.0,11,-1396.889379,-1553.367179,-1248.439851,83.510331
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",107800,0.039342,200.0,11,-1361.749015,-1560.78166,-1132.110058,117.986518
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",110000,0.039578,200.0,11,-1476.899372,-1545.405669,-1342.062206,63.004816
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",112200,0.039828,200.0,11,-1390.393098,-1514.116006,-1160.325428,103.04796
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",114400,0.039849,200.0,11,-1455.741366,-1739.604814,-1295.039366,134.310919
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",116600,0.040108,200.0,11,-1466.883432,-1818.096043,-1280.235313,137.272599
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",118800,0.039338,200.0,11,-1345.876409,-1469.43177,-1243.962557,70.20325
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",121000,0.039075,200.0,11,-1402.83985,-1539.058705,-1105.1374,138.52807
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",123200,0.037368,200.0,11,-1423.587696,-1555.395146,-1247.652562,96.995811
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",125400,0.039232,200.0,11,-1487.595229,-1663.221487,-1359.851329,95.950231
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",127600,0.039847,200.0,11,-1499.551335,-1653.965862,-1305.268306,100.476324
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",129800,0.039143,200.0,11,-1448.940741,-1577.406235,-1267.653083,113.765242
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",132000,0.038333,200.0,11,-1439.303092,-1703.57227,-1243.150366,132.848716
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",134200,0.03858,200.0,11,-1438.950823,-1562.549927,-1267.194765,108.72489
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",136400,0.03774,200.0,11,-1474.635039,-1632.771057,-1246.392588,101.698126
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",138600,0.03962,200.0,11,-1456.972548,-1603.040454,-1367.140941,75.722038
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",140800,0.041115,200.0,11,-1473.780622,-1578.255848,-1366.447233,62.753676
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",143000,0.038455,200.0,11,-1464.642847,-1566.652288,-1307.454714,89.279049
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",145200,0.037224,200.0,11,-1420.572726,-1560.442359,-1284.207126,80.943072
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",147400,0.038444,200.0,11,-1463.246768,-1652.47243,-1261.81868,121.186621
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",149600,0.038146,200.0,11,-1469.624952,-1741.840063,-1119.252796,167.0281
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",151800,0.039749,200.0,11,-1480.999406,-1787.039293,-1275.744333,128.436088
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",154000,0.03767,200.0,11,-1456.824659,-1573.429181,-1344.1876,75.580989
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",156200,0.036497,200.0,11,-1432.297706,-1613.240283,-1263.779565,112.673623
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",158400,0.037826,200.0,11,-1462.390443,-1574.730151,-1283.212255,99.200465
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",160600,0.038712,200.0,11,-1481.277247,-1564.627724,-1270.070425,80.499473
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",162800,0.0398,200.0,11,-1454.001122,-1549.935889,-1378.977204,54.486937
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",165000,0.039868,200.0,11,-1499.29056,-1685.773055,-1116.735055,139.546658
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",167200,0.036328,200.0,11,-1421.335043,-1526.702587,-1314.939429,75.246409
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",169400,0.03629,200.0,11,-1511.232969,-1607.148839,-1375.406505,75.428642
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",171600,0.036196,200.0,11,-1527.129505,-1622.304478,-1404.488299,60.489423
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",173800,0.036442,200.0,11,-1489.076292,-1594.186905,-1328.375781,78.860452
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",176000,0.037647,200.0,11,-1516.28678,-1818.597617,-1250.873562,143.804645
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",178200,0.039434,200.0,11,-1499.872865,-1650.304069,-1355.627521,88.463173
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",180400,0.036841,200.0,11,-1510.813382,-1619.790811,-1405.176786,63.335303
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",182600,0.038168,200.0,11,-1546.658174,-1729.457132,-1384.922379,86.295831
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",184800,0.037514,200.0,11,-1436.993321,-1587.160773,-1314.431865,83.998282
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",187000,0.040244,200.0,11,-1506.540561,-1606.614982,-1399.51453,67.609459
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ret)",189200,0.039643,200.0,11,-1514.583955,-1606.295157,-1387.677653,76.848861
