,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,episodes
0,"exp_name: Pendulum-v1_2023-01-17 (GAE advantage, new hyperparams, normalize ret)",2200,0.037943,200.0,11,-1224.634815,-1633.46679,-739.713681,293.073728,0
0,"exp_name: Pendulum-v1_2023-01-17 (GAE advantage, new hyperparams, normalize ret)",4400,0.038876,200.0,11,-1441.415829,-1704.652606,-1175.337973,170.698129,1
0,"exp_name: Pendulum-v1_2023-01-17 (GAE advantage, new hyperparams, normalize ret)",6600,0.038529,200.0,11,-1355.20436,-1698.792665,-895.05189,300.691935,2
0,"exp_name: Pendulum-v1_2023-01-17 (GAE advantage, new hyperparams, normalize ret)",8800,0.037663,200.0,11,-1043.487039,-1307.288441,-769.474632,177.511502,3
0,"exp_name: Pendulum-v1_2023-01-17 (GAE advantage, new hyperparams, normalize ret)",11000,0.038534,200.0,11,-1112.480262,-1867.036576,-762.885131,288.254704,4
0,"exp_name: Pendulum-v1_2023-01-17 (GAE advantage, new hyperparams, normalize ret)",13200,0.039036,200.0,11,-1046.024225,-1715.624222,-715.076274,285.385226,5
0,"exp_name: Pendulum-v1_2023-01-17 (GAE advantage, new hyperparams, normalize ret)",15400,0.036516,200.0,11,-1309.244608,-1717.73726,-763.459625,356.123892,6
0,"exp_name: Pendulum-v1_2023-01-17 (GAE advantage, new hyperparams, normalize ret)",17600,0.03602,200.0,11,-1193.289257,-1564.381138,-872.519362,225.720022,7
0,"exp_name: Pendulum-v1_2023-01-17 (GAE advantage, new hyperparams, normalize ret)",19800,0.03667,200.0,11,-1044.42459,-1592.494592,-744.178664,241.658243,8
0,"exp_name: Pendulum-v1_2023-01-17 (GAE advantage, new hyperparams, normalize ret)",22000,0.038439,200.0,11,-1142.571497,-1439.624967,-764.027337,218.823149,9
0,"exp_name: Pendulum-v1_2023-01-17 (GAE advantage, new hyperparams, normalize ret)",24200,0.041957,200.0,11,-1123.281845,-1607.931191,-893.466227,248.663013,10
0,"exp_name: Pendulum-v1_2023-01-17 (GAE advantage, new hyperparams, normalize ret)",26400,0.03714,200.0,11,-1137.120622,-1749.79021,-798.795427,286.413985,11
0,"exp_name: Pendulum-v1_2023-01-17 (GAE advantage, new hyperparams, normalize ret)",28600,0.036903,200.0,11,-1205.088723,-1644.076216,-837.689457,276.199357,12
0,"exp_name: Pendulum-v1_2023-01-17 (GAE advantage, new hyperparams, normalize ret)",30800,0.041415,200.0,11,-1013.79721,-1592.458071,-766.332677,213.516456,13
0,"exp_name: Pendulum-v1_2023-01-17 (GAE advantage, new hyperparams, normalize ret)",33000,0.0383,200.0,11,-1058.651147,-1390.446803,-770.147456,210.408253,14
0,"exp_name: Pendulum-v1_2023-01-17 (GAE advantage, new hyperparams, normalize ret)",35200,0.047874,200.0,11,-1057.951829,-1701.755144,-848.179107,238.935035,15
0,"exp_name: Pendulum-v1_2023-01-17 (GAE advantage, new hyperparams, normalize ret)",37400,0.040007,200.0,11,-995.049661,-1631.964946,-648.196732,285.113974,16
0,"exp_name: Pendulum-v1_2023-01-17 (GAE advantage, new hyperparams, normalize ret)",39600,0.040053,200.0,11,-994.765768,-1315.530651,-763.112664,151.284306,17
0,"exp_name: Pendulum-v1_2023-01-17 (GAE advantage, new hyperparams, normalize ret)",41800,0.038139,200.0,11,-1074.385923,-1372.426931,-757.251557,208.289503,18
0,"exp_name: Pendulum-v1_2023-01-17 (GAE advantage, new hyperparams, normalize ret)",44000,0.041321,200.0,11,-1027.941374,-1328.198931,-857.765399,170.241636,19
0,"exp_name: Pendulum-v1_2023-01-17 (GAE advantage, new hyperparams, normalize ret)",46200,0.03623,200.0,11,-1091.560861,-1323.173883,-849.251242,138.804604,20
0,"exp_name: Pendulum-v1_2023-01-17 (GAE advantage, new hyperparams, normalize ret)",48400,0.037536,200.0,11,-1001.323456,-1315.434114,-758.645542,180.367426,21
0,"exp_name: Pendulum-v1_2023-01-17 (GAE advantage, new hyperparams, normalize ret)",50600,0.038929,200.0,11,-1012.288324,-1330.409669,-789.96657,174.949615,22
0,"exp_name: Pendulum-v1_2023-01-17 (GAE advantage, new hyperparams, normalize ret)",52800,0.049583,200.0,11,-1066.593481,-1415.914967,-766.998572,224.74083,23
0,"exp_name: Pendulum-v1_2023-01-17 (GAE advantage, new hyperparams, normalize ret)",55000,0.03656,200.0,11,-900.407222,-1208.850034,-810.902689,101.662243,24
0,"exp_name: Pendulum-v1_2023-01-17 (GAE advantage, new hyperparams, normalize ret)",57200,0.037537,200.0,11,-1005.986355,-1394.675907,-651.01373,250.362942,25
0,"exp_name: Pendulum-v1_2023-01-17 (GAE advantage, new hyperparams, normalize ret)",59400,0.03788,200.0,11,-1049.235916,-1340.039916,-824.218538,190.458073,26
0,"exp_name: Pendulum-v1_2023-01-17 (GAE advantage, new hyperparams, normalize ret)",61600,0.03567,200.0,11,-928.306041,-1303.844938,-751.637016,184.706391,27
0,"exp_name: Pendulum-v1_2023-01-17 (GAE advantage, new hyperparams, normalize ret)",63800,0.036457,200.0,11,-1176.953428,-1555.696279,-775.226009,217.150704,28
0,"exp_name: Pendulum-v1_2023-01-17 (GAE advantage, new hyperparams, normalize ret)",66000,0.039692,200.0,11,-994.191667,-1350.62964,-753.741529,179.579186,29
0,"exp_name: Pendulum-v1_2023-01-17 (GAE advantage, new hyperparams, normalize ret)",68200,0.03869,200.0,11,-1054.926963,-1505.685531,-838.111676,195.855375,30
0,"exp_name: Pendulum-v1_2023-01-17 (GAE advantage, new hyperparams, normalize ret)",70400,0.036382,200.0,11,-942.899532,-1324.505788,-741.210123,179.823708,31
0,"exp_name: Pendulum-v1_2023-01-17 (GAE advantage, new hyperparams, normalize ret)",72600,0.036904,200.0,11,-963.437842,-1417.240898,-769.693181,180.263523,32
0,"exp_name: Pendulum-v1_2023-01-17 (GAE advantage, new hyperparams, normalize ret)",74800,0.038181,200.0,11,-1000.606312,-1197.661958,-771.352759,123.599199,33
0,"exp_name: Pendulum-v1_2023-01-17 (GAE advantage, new hyperparams, normalize ret)",77000,0.038391,200.0,11,-961.362901,-1316.249491,-758.233326,166.194953,34
0,"exp_name: Pendulum-v1_2023-01-17 (GAE advantage, new hyperparams, normalize ret)",79200,0.038529,200.0,11,-1021.957168,-1694.488154,-753.015072,253.584672,35
0,"exp_name: Pendulum-v1_2023-01-17 (GAE advantage, new hyperparams, normalize ret)",81400,0.037375,200.0,11,-1016.111078,-1415.871529,-750.074562,237.142962,36
0,"exp_name: Pendulum-v1_2023-01-17 (GAE advantage, new hyperparams, normalize ret)",83600,0.036496,200.0,11,-1039.538063,-1276.540061,-750.144958,170.905254,37
