,mean episodic length,mean episodic rewards,timestep
0,200.0,-1277.9901390931113,2600
0,200.0,-1339.7477271904424,5200
0,200.0,-1307.1503776164418,7800
0,200.0,-1231.1662627752635,10400
0,200.0,-1025.4730824476787,13000
0,200.0,-1376.965286481922,15600
0,200.0,-1214.7775958354464,18200
0,200.0,-1159.076710595214,20800
0,200.0,-1243.7847050559994,23400
0,200.0,-1151.343680342323,26000
0,200.0,-1351.3929780077483,28600
0,200.0,-1082.3911156745853,31200
0,200.0,-1222.486253386644,33800
0,200.0,-1061.0923396588669,36400
0,200.0,-1187.0172352997156,39000
0,200.0,-1238.620836139754,41600
0,200.0,-1208.7504496790598,44200
0,200.0,-1257.5645873621306,46800
0,200.0,-1205.591023920685,49400
0,200.0,-1207.0907838260691,52000
0,200.0,-1059.806830382207,54600
0,200.0,-1111.2261391170382,57200
0,200.0,-1200.817928062433,59800
0,200.0,-1157.0434542210776,62400
0,200.0,-1233.322296725298,65000
0,200.0,-1254.090242929065,67600
0,200.0,-1143.404117927323,70200
0,200.0,-1139.4942261384083,72800
0,200.0,-1276.7667517436735,75400
0,200.0,-1219.0811471455693,78000
0,200.0,-1302.087003966608,80600
0,200.0,-1287.3083047525336,83200
0,200.0,-1222.0609869416162,85800
0,200.0,-1320.299029982646,88400
0,200.0,-1447.280398612307,91000
0,200.0,-1278.262939883118,93600
0,200.0,-1311.0953581635117,96200
0,200.0,-1169.4555297395236,98800
0,200.0,-1262.9253848835078,101400
0,200.0,-1174.2826884458425,104000
0,200.0,-1226.7352456663752,106600
0,200.0,-1204.8256149974463,109200
0,200.0,-1184.3668728456155,111800
0,200.0,-1124.4019355158073,114400
0,200.0,-1168.7156865147267,117000
0,200.0,-1228.2686530283236,119600
0,200.0,-1159.2412507267723,122200
0,200.0,-1214.2022237704182,124800
0,200.0,-1098.251076054987,127400
0,200.0,-1305.1436243128153,130000
0,200.0,-1339.7661486734282,132600
0,200.0,-1110.577786907318,135200
0,200.0,-1193.1652092025,137800
0,200.0,-1022.6438776700403,140400
0,200.0,-1100.8038711662448,143000
0,200.0,-1160.1994703159555,145600
0,200.0,-1167.5504773986236,148200
0,200.0,-1285.476217778158,150800
0,200.0,-1219.6476467096736,153400
0,200.0,-1179.1837993918957,156000
0,200.0,-1092.7332925912979,158600
0,200.0,-1119.6366158463718,161200
0,200.0,-1146.3694305542326,163800
0,200.0,-1136.0708244970547,166400
0,200.0,-1100.5076592087566,169000
0,200.0,-1115.1950670977917,171600
0,200.0,-1074.2552726582355,174200
0,200.0,-1184.1376617908988,176800
0,200.0,-1197.16136274133,179400
0,200.0,-1172.4542512789178,182000
0,200.0,-1320.3765482526383,184600
0,200.0,-1147.4783859273184,187200
0,200.0,-1166.946614432586,189800
