,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,episodes
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",2200,0.203106,200.0,11,-1238.931451,-1686.165101,-885.705491,270.141937,0
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",4400,0.061192,200.0,11,-1452.513028,-1748.34708,-1177.801567,159.337536,1
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",6600,0.05522,200.0,11,-1353.552277,-1721.522664,-870.88759,270.286293,2
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",8800,0.066025,200.0,11,-1155.403824,-1547.353882,-854.558803,196.901506,3
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",11000,0.059872,200.0,11,-1249.755884,-1834.567935,-883.077376,262.890057,4
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",13200,0.054781,200.0,11,-1177.805222,-1650.26808,-822.989915,272.852971,5
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",15400,0.061166,200.0,11,-1339.520919,-1719.861466,-887.598628,267.562495,6
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",17600,0.056734,200.0,11,-1261.548045,-1722.239809,-769.031096,282.804428,7
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",19800,0.056559,200.0,11,-1156.794993,-1706.484928,-887.805964,295.702076,8
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",22000,0.056082,200.0,11,-1305.440888,-1702.560784,-903.617928,190.050165,9
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",24200,0.063474,200.0,11,-1221.878179,-1760.674134,-870.359932,330.783029,10
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",26400,0.060372,200.0,11,-1266.436855,-1793.056573,-955.1585,273.538302,11
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",28600,0.053824,200.0,11,-1268.703496,-1762.773068,-644.406154,362.965125,12
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",30800,0.057316,200.0,11,-1150.744469,-1695.211909,-857.570723,256.666735,13
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",33000,0.060855,200.0,11,-1198.583819,-1735.092985,-795.184273,299.840964,14
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",35200,0.059645,200.0,11,-1174.519193,-1573.486905,-872.841283,234.39679,15
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",37400,0.057612,200.0,11,-1166.307097,-1848.57714,-858.551972,334.027586,16
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",39600,0.060609,200.0,11,-1225.477661,-1745.472029,-900.465577,309.003998,17
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",41800,0.060808,200.0,11,-1333.119271,-1868.78903,-885.983519,325.661822,18
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",44000,0.053147,200.0,11,-1195.011003,-1716.511925,-750.584939,312.752754,19
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",46200,0.054151,200.0,11,-1350.340371,-1696.125208,-819.713053,258.213158,20
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",48400,0.061731,200.0,11,-1249.59033,-1698.190726,-850.054755,272.096733,21
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",50600,0.057424,200.0,11,-1251.061375,-1722.272299,-835.062063,338.015287,22
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",52800,0.055879,200.0,11,-1225.197796,-1786.749447,-756.104302,348.654798,23
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",55000,0.057597,200.0,11,-1090.93047,-1521.87641,-876.210264,178.531743,24
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",57200,0.062971,200.0,11,-1180.705833,-1694.023401,-873.57575,282.373367,25
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",59400,0.057845,200.0,11,-1233.844371,-1556.439118,-882.067413,260.656715,26
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",61600,0.058519,200.0,11,-1115.505074,-1665.834851,-747.499597,316.251504,27
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",63800,0.063686,200.0,11,-1422.735586,-1833.158539,-778.789859,324.516738,28
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",66000,0.055593,200.0,11,-1176.065449,-1549.558388,-890.299058,250.648026,29
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",68200,0.054854,200.0,11,-1289.48043,-1720.133793,-949.735969,242.803161,30
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",70400,0.058149,200.0,11,-1165.667964,-1668.074892,-745.31716,262.638866,31
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",72600,0.063608,200.0,11,-1071.801526,-1435.732673,-756.903928,221.762652,32
