,mean episodic length,mean episodic rewards,timestep
0,200.0,-1277.9901390931113,2600
0,200.0,-1339.7477271904424,5200
0,200.0,-1307.1503771166176,7800
0,200.0,-1231.1662621397447,10400
0,200.0,-1025.473063312333,13000
0,200.0,-1376.9652780379354,15600
0,200.0,-1214.7775900694362,18200
0,200.0,-1159.0767046997908,20800
0,200.0,-1243.786495186096,23400
0,200.0,-1151.3442585717528,26000
0,200.0,-1351.395995960098,28600
0,200.0,-1082.686450937478,31200
0,200.0,-1222.2163280359343,33800
0,200.0,-1056.650802412349,36400
0,200.0,-1189.96108047754,39000
0,200.0,-1222.405872543506,41600
0,200.0,-1199.6280132867753,44200
0,200.0,-1248.7679069762892,46800
0,200.0,-1197.7827480527117,49400
0,200.0,-1176.4034940201868,52000
0,200.0,-1075.7739875804639,54600
0,200.0,-1139.4145997496155,57200
0,200.0,-1174.4247944598744,59800
0,200.0,-1117.8947764082352,62400
0,200.0,-1216.7177891239621,65000
0,200.0,-1251.135473679031,67600
0,200.0,-1143.975139147513,70200
0,200.0,-1138.67649872585,72800
0,200.0,-1283.1503932637786,75400
0,200.0,-1225.653504911195,78000
0,200.0,-1302.4554806537149,80600
0,200.0,-1278.1921043004625,83200
0,200.0,-1219.0730954768592,85800
0,200.0,-1299.012211209375,88400
0,200.0,-1443.1058372252048,91000
0,200.0,-1277.561445966438,93600
0,200.0,-1327.0868942925995,96200
0,200.0,-1184.9406660846807,98800
0,200.0,-1281.543960538858,101400
0,200.0,-1150.9911842560998,104000
0,200.0,-1228.425574727092,106600
0,200.0,-1217.3251205234458,109200
0,200.0,-1220.7193619335587,111800
0,200.0,-1147.182732308196,114400
0,200.0,-1186.7569098600607,117000
0,200.0,-1228.3143820400205,119600
0,200.0,-1172.4376678586013,122200
0,200.0,-1201.3178879957245,124800
0,200.0,-1128.8550668783862,127400
0,200.0,-1337.7507180525672,130000
0,200.0,-1380.251071955652,132600
0,200.0,-1126.1561170073842,135200
0,200.0,-1215.8908169979445,137800
0,200.0,-1069.6082347037152,140400
0,200.0,-1151.3521975789051,143000
0,200.0,-1165.2186365615005,145600
0,200.0,-1222.3492566032853,148200
0,200.0,-1299.6982622751987,150800
0,200.0,-1218.9064263806008,153400
0,200.0,-1247.0879602246143,156000
0,200.0,-1120.8833058765258,158600
0,200.0,-1069.6252672930011,161200
0,200.0,-1158.3964601278171,163800
0,200.0,-1137.1993602134257,166400
0,200.0,-1108.499966644217,169000
0,200.0,-1121.9445574638303,171600
0,200.0,-1092.969977253169,174200
0,200.0,-1197.26279396505,176800
0,200.0,-1187.0264197509537,179400
0,200.0,-1170.8465699011156,182000
0,200.0,-1342.7032196606056,184600
0,200.0,-1159.2497543999134,187200
0,200.0,-1161.1630445939836,189800
