,experiment,timestep,mean episodic length,mean episodic returns,std episodic returns
0,experiment,2600,200.0,-1277.9901390931113,302.7198631515344
0,experiment,5200,200.0,-1348.5774323192452,249.9838886865676
0,experiment,7800,200.0,-1317.1887537834061,335.27218345833694
0,experiment,10400,200.0,-1244.3829449315222,240.41983329293612
0,experiment,13000,200.0,-1031.90517256528,276.97512502775714
0,experiment,15600,200.0,-1384.6711015562144,333.4376917560594
0,experiment,18200,200.0,-1229.779311045554,289.11700331865745
0,experiment,20800,200.0,-1212.2411303583417,292.88845081092427
0,experiment,23400,200.0,-1304.2813550338326,259.15934871511644
0,experiment,26000,200.0,-1210.879243798658,328.9466961853059
0,experiment,28600,200.0,-1380.2123470678732,315.8400211240228
0,experiment,31200,200.0,-1101.7543232325477,266.17488535198197
0,experiment,33800,200.0,-1247.1710295283347,328.174449571073
0,experiment,36400,200.0,-1127.2815236227202,191.7904203554534
0,experiment,39000,200.0,-1153.256457715715,347.8312280982362
0,experiment,41600,200.0,-1292.0774573903293,289.9863136388631
0,experiment,44200,200.0,-1227.078931165732,295.7473273992156
0,experiment,46800,200.0,-1308.877237816944,186.87137963751678
0,experiment,49400,200.0,-1232.7062647683365,297.03725827793863
0,experiment,52000,200.0,-1242.4070137298067,281.04080733009073
0,experiment,54600,200.0,-1110.270964076066,227.28687035556018
0,experiment,57200,200.0,-1210.7699896955114,272.96470812136295
0,experiment,59800,200.0,-1245.7264621586355,300.54419308230854
0,experiment,62400,200.0,-1223.1379451108303,285.21376485096613
0,experiment,65000,200.0,-1308.9611984438084,296.31468297116186
0,experiment,67600,200.0,-1364.292817938392,210.912943338241
0,experiment,70200,200.0,-1228.6711140383482,276.8233825019179
0,experiment,72800,200.0,-1188.5933880473608,295.5327782934646
0,experiment,75400,200.0,-1352.570369847401,205.1149289713545
0,experiment,78000,200.0,-1257.4532650648553,305.7915444156522
0,experiment,80600,200.0,-1348.322006331626,402.7103186163501
0,experiment,83200,200.0,-1327.6407533763545,268.0671192136111
0,experiment,85800,200.0,-1273.519928141532,342.0811484062285
0,experiment,88400,200.0,-1404.8695526868057,309.22451426296163
0,experiment,91000,200.0,-1519.415867329905,258.8293237612527
0,experiment,93600,200.0,-1359.2633028798564,336.8855342506593
0,experiment,96200,200.0,-1409.2253643430279,171.71418951642494
0,experiment,98800,200.0,-1278.0088348957813,274.8701998342561
0,experiment,101400,200.0,-1384.5081577445153,275.7790710159918
0,experiment,104000,200.0,-1250.494135350219,291.3699172257589
0,experiment,106600,200.0,-1311.2311910050182,255.49587678625818
0,experiment,109200,200.0,-1320.9079760027776,264.3785007641693
0,experiment,111800,200.0,-1280.8494474691083,269.64731005275354
0,experiment,114400,200.0,-1205.7601907913875,255.4342822464687
0,experiment,117000,200.0,-1269.2710249514607,268.51590532942646
0,experiment,119600,200.0,-1351.1936683203146,230.4997630583027
0,experiment,122200,200.0,-1282.5489579575735,300.77323473550604
0,experiment,124800,200.0,-1331.5300574882656,277.208740922234
0,experiment,127400,200.0,-1227.1500969161127,255.41562925189174
