,experiment,timestep,mean episodic length,mean episodic returns,mean episodic runtime,std episodic returns
0,experiment,2200,200.0,-1224.6348146315077,0.03844300183382901,293.073728357983
0,experiment,4400,200.0,-1462.113125263688,0.03734001246365634,166.57025960874643
0,experiment,6600,200.0,-1380.6208805751096,0.03779859976335005,326.8112178429333
0,experiment,2200,200.0,-1224.6348146315077,0.03935083475979892,293.073728357983
0,experiment,4400,200.0,-1462.113125263688,0.03879085454073819,166.57025960874643
0,experiment,6600,200.0,-1380.6208805751096,0.03904470530423251,326.8112178429333
0,experiment,2200,200.0,-1224.6348146315077,0.036608522588556465,293.073728357983
0,experiment,4400,200.0,-1462.113125263688,0.03779513185674494,166.57025960874643
0,experiment,6600,200.0,-1380.6208805751096,0.038909500295465645,326.8112178429333
0,experiment,2200,200.0,-1224.6348146315077,0.037315628745339134,293.073728357983
0,experiment,4400,200.0,-1462.113125263688,0.038945826617154206,166.57025960874643
0,experiment,6600,200.0,-1380.6208805751096,0.03976592150601474,326.8112178429333
0,experiment,2200,200.0,-1224.6348146315077,0.03883374821056019,293.073728357983
0,experiment,4400,200.0,-1462.113125263688,0.03953235799616033,166.57025960874643
0,experiment,6600,200.0,-1380.6208805751096,0.039863846518776634,326.8112178429333
0,experiment,8800,200.0,-1120.012984762655,0.03815197944641113,216.92214171342576
0,experiment,11000,200.0,-1170.4303602439124,0.03635543042963201,279.0593530645365
0,experiment,13200,200.0,-1063.536533966236,0.03803036429665305,322.18685381086095
0,experiment,15400,200.0,-1370.6607495322323,0.03821411999789151,347.57583231305176
0,experiment,17600,200.0,-1265.9795694850168,0.03869763287630948,267.31697518179743
0,experiment,19800,200.0,-1116.4997182059337,0.03732002865184437,277.5106950820871
0,experiment,22000,200.0,-1214.763586952151,0.03884042393077503,254.68914048972235
0,experiment,24200,200.0,-1206.5619211086234,0.03746960379860618,296.63663178771304
0,experiment,26400,200.0,-1247.033765208388,0.038609613071788444,308.24391097965247
0,experiment,28600,200.0,-1338.5848467114838,0.037393049760298294,319.4409942738638
0,experiment,30800,200.0,-1140.4411798999454,0.04043301669034091,239.5400863393578
0,experiment,33000,200.0,-1209.8471636600234,0.03749251365661621,241.5887988250007
0,experiment,35200,200.0,-1162.1048832047768,0.037591045553034004,261.37282053152165
0,experiment,37400,200.0,-1180.6648917575135,0.037609013644131745,288.57347807001605
0,experiment,39600,200.0,-1133.7822718697814,0.03728892586447976,205.5200973904026
0,experiment,41800,200.0,-1266.778336968243,0.036750381643121895,220.2317722152913
0,experiment,44000,200.0,-1183.493929103628,0.03917004845359109,212.08933670125776
0,experiment,46200,200.0,-1218.5532660101187,0.0373335751620206,176.46967902608503
0,experiment,48400,200.0,-1175.6822669843177,0.03795714811845259,235.55327350620377
0,experiment,50600,200.0,-1177.3456818759244,0.03668583523143421,230.23502328440256
0,experiment,52800,200.0,-1234.432960031162,0.03599240563132546,292.8686217642424
0,experiment,55000,200.0,-1043.954962351178,0.037064162167635833,143.1915834144309
0,experiment,57200,200.0,-1199.4877056500652,0.03992882641878995,272.1108658884667
0,experiment,59400,200.0,-1207.426179430579,0.037727919491854583,301.91708528546513
0,experiment,61600,200.0,-1083.3829559120054,0.03784697706049139,251.9427195943417
0,experiment,63800,200.0,-1347.4910372281404,0.0377029072154652,267.7297884292134
0,experiment,66000,200.0,-1145.4407297061098,0.03782300515608354,274.1398614108659
0,experiment,68200,200.0,-1282.2582196646053,0.038795883005315605,280.5192738764549
0,experiment,70400,200.0,-1162.204742953329,0.04045757380398837,260.7290448162493
0,experiment,72600,200.0,-1088.3811016002242,0.03796687993136319,307.30538110265866
0,experiment,74800,200.0,-1269.6136856453736,0.03751381960782138,211.74340305064288
0,experiment,77000,200.0,-1246.3669678202548,0.03703602877530185,245.14871277855528
0,experiment,79200,200.0,-1241.6447526027373,0.03784634850241921,326.1177245347557
0,experiment,81400,200.0,-1320.9365568297462,0.03793636235323819,333.65097222305525
0,experiment,83600,200.0,-1372.4960790201478,0.03859732367775657,278.93337972437547
