,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ad/rtv)",2200,0.040116,200.0,11,-1224.634815,-1633.46679,-739.713681,293.073728
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ad/rtv)",4400,0.039826,200.0,11,-1476.464302,-1719.981016,-1224.540289,159.481322
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ad/rtv)",6600,0.039609,200.0,11,-1412.508418,-1739.95204,-879.044121,298.278716
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ad/rtv)",8800,0.038334,200.0,11,-1140.208502,-1435.083813,-740.875389,226.646403
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ad/rtv)",11000,0.038176,200.0,11,-1174.61354,-1868.743408,-811.187953,280.289932
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ad/rtv)",13200,0.036921,200.0,11,-1072.638518,-1770.632923,-672.298697,319.851515
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ad/rtv)",15400,0.037118,200.0,11,-1379.752719,-1786.013366,-767.983978,356.041773
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ad/rtv)",17600,0.039404,200.0,11,-1282.125661,-1686.500537,-859.068288,273.969288
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ad/rtv)",19800,0.03849,200.0,11,-1178.811028,-1785.646529,-860.604923,262.613936
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ad/rtv)",22000,0.037008,200.0,11,-1291.364976,-1615.752943,-988.284064,207.041926
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ad/rtv)",24200,0.036915,200.0,11,-1240.707449,-1799.735521,-864.908754,291.125075
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ad/rtv)",26400,0.036479,200.0,11,-1304.332439,-1852.354262,-938.308561,273.241716
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ad/rtv)",28600,0.03684,200.0,11,-1356.171126,-1815.019715,-853.781373,322.221222
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ad/rtv)",30800,0.039776,200.0,11,-1124.53268,-1837.399883,-870.267246,267.924118
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ad/rtv)",33000,0.037193,200.0,11,-1213.610984,-1612.612987,-862.388222,274.988627
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ad/rtv)",35200,0.036761,200.0,11,-1178.170186,-1853.378818,-750.856273,294.087776
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ad/rtv)",37400,0.036205,200.0,11,-1145.07345,-1824.013103,-629.811479,341.217591
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ad/rtv)",39600,0.036178,200.0,11,-1174.347914,-1614.782911,-880.222516,219.323001
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ad/rtv)",41800,0.037926,200.0,11,-1278.282787,-1645.394408,-919.617548,265.876677
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ad/rtv)",44000,0.039374,200.0,11,-1229.282907,-1631.177457,-887.861726,255.602728
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ad/rtv)",46200,0.036898,200.0,11,-1328.973791,-1653.59385,-862.52582,214.929883
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ad/rtv)",48400,0.036412,200.0,11,-1280.785944,-1647.856327,-922.502398,220.050121
0,"exp_name: Pendulum-v1_2023-01-14 (seperate network, TD actor-critic advantage, normalize ad/rtv)",50600,0.036445,200.0,11,-1200.485954,-1621.931406,-836.359951,274.570216
