,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,episodes
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",2200,0.037971,200.0,11,-1224.634815,-1633.46679,-739.713681,293.073728,0
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",4400,0.038292,200.0,11,-1440.87104,-1704.591737,-1175.966382,171.095363,1
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",6600,0.042994,200.0,11,-1370.456735,-1719.695883,-823.282059,322.445825,2
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",8800,0.039099,200.0,11,-1059.408477,-1351.282311,-709.201128,214.618311,3
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",11000,0.038749,200.0,11,-1086.314007,-1866.510627,-671.822008,302.775153,4
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",13200,0.038745,200.0,11,-1101.922692,-1744.856836,-751.09902,268.688079,5
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",15400,0.038473,200.0,11,-1348.471019,-1747.100687,-903.096906,329.133426,6
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",17600,0.040548,200.0,11,-1238.118084,-1657.17366,-878.17204,269.72871,7
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",19800,0.037776,200.0,11,-1069.265545,-1737.404778,-732.519572,294.225087,8
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",22000,0.03714,200.0,11,-1204.852151,-1558.274253,-798.613677,250.127366,9
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",24200,0.036676,200.0,11,-1169.024776,-1739.187795,-754.566776,298.213548,10
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",26400,0.037042,200.0,11,-1231.839617,-1836.326987,-864.525909,285.296325,11
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",28600,0.039613,200.0,11,-1315.474509,-1775.221289,-873.744193,320.240271,12
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",30800,0.038089,200.0,11,-1076.620141,-1764.94377,-891.759161,246.511925,13
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",33000,0.03729,200.0,11,-1161.669969,-1519.327503,-887.799332,237.19445,14
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",35200,0.036284,200.0,11,-1161.1003,-1819.077254,-936.183308,246.847426,15
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",37400,0.037306,200.0,11,-1108.58845,-1794.978664,-815.850077,313.091443,16
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",39600,0.039654,200.0,11,-1127.679782,-1534.065489,-756.188911,213.232385,17
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",41800,0.037783,200.0,11,-1197.142934,-1615.387908,-762.569459,311.904146,18
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",44000,0.037548,200.0,11,-1153.79236,-1563.0129,-889.227204,252.776059,19
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",46200,0.036442,200.0,11,-1244.986054,-1576.531866,-763.589503,234.64742,20
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",48400,0.036926,200.0,11,-1217.522137,-1587.75373,-888.169004,240.289538,21
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",50600,0.037375,200.0,11,-1149.731785,-1537.649699,-836.248144,252.287782,22
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",52800,0.040084,200.0,11,-1225.467673,-1649.634225,-852.239102,274.71636,23
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",55000,0.037247,200.0,11,-976.1011,-1407.749174,-763.368825,156.151396,24
0,"exp_name: Pendulum-v1_2023-01-16 (random agent, actor-critic advantage, normalize ret)",57200,0.036495,200.0,11,-1125.888699,-1608.683405,-757.747228,294.530524,25
